Date,Price,Open,High,Low,Vol.,Change %
Nov 15, 2010,0.3,0.3,0.3,0.3,8.51K,0.00%
Nov 16, 2010,0.2,0.3,0.3,0.2,33.93K,0.00%
Nov 17, 2010,0.2,0.2,0.3,0.2,32.87K,0.00%
Nov 18, 2010,0.3,0.2,0.3,0.2,37.45K,0.00%
Nov 19, 2010,0.3,0.3,0.3,0.3,2.16K,0.00%
Nov 20, 2010,0.3,0.3,0.3,0.3,14.65K,0.00%
Nov 21, 2010,0.3,0.3,0.3,0.3,0.77K,0.00%
Nov 22, 2010,0.3,0.3,0.3,0.3,28.21K,0.00%
Nov 23, 2010,0.3,0.3,0.3,0.3,4.86K,0.00%
Nov 24, 2010,0.3,0.3,0.3,0.3,2.52K,0.00%
Nov 25, 2010,0.3,0.3,0.3,0.3,1.68K,0.00%
Nov 26, 2010,0.3,0.3,0.3,0.3,33.53K,0.00%
Nov 27, 2010,0.3,0.3,0.3,0.3,1.83K,0.00%
Nov 28, 2010,0.3,0.3,0.3,0.3,20.80K,0.00%
Nov 29, 2010,0.2,0.3,0.3,0.2,35.06K,0.00%
Nov 30, 2010,0.2,0.2,0.2,0.2,21.48K,0.00%
Dec 01, 2010,0.2,0.2,0.2,0.2,8.16K,0.00%
Dec 02, 2010,0.3,0.2,0.3,0.2,20.31K,0.00%
Dec 03, 2010,0.3,0.3,0.3,0.2,2.57K,0.00%
Dec 04, 2010,0.2,0.3,0.3,0.2,28.56K,0.00%
Dec 05, 2010,0.2,0.2,0.2,0.2,5.74K,0.00%
Dec 06, 2010,0.2,0.2,0.2,0.2,4.32K,0.00%
Dec 07, 2010,0.2,0.2,0.2,0.2,24.59K,0.00%
Dec 08, 2010,0.2,0.2,0.2,0.2,3.43K,0.00%
Dec 09, 2010,0.2,0.2,0.2,0.2,21.34K,0.00%
Dec 10, 2010,0.2,0.2,0.2,0.2,1.68K,0.00%
Dec 11, 2010,0.2,0.2,0.2,0.2,5.79K,0.00%
Dec 12, 2010,0.2,0.2,0.2,0.2,1.96K,0.00%
Dec 13, 2010,0.2,0.2,0.2,0.2,6.42K,0.00%
Dec 14, 2010,0.2,0.2,0.2,0.2,10.39K,0.00%
Dec 15, 2010,0.2,0.2,0.2,0.2,3.69K,0.00%
Dec 16, 2010,0.3,0.2,0.3,0.2,14.36K,0.00%
Dec 17, 2010,0.2,0.3,0.2,0.2,0.53K,0.00%
Dec 18, 2010,0.2,0.2,0.2,0.2,0.17K,0.00%
Dec 19, 2010,0.2,0.2,0.2,0.2,2.00K,0.00%
Dec 20, 2010,0.3,0.2,0.3,0.2,10.68K,0.00%
Dec 21, 2010,0.2,0.3,0.3,0.2,9.23K,0.00%
Dec 22, 2010,0.3,0.2,0.3,0.2,3.80K,0.00%
Dec 23, 2010,0.3,0.3,0.3,0.2,8.65K,0.00%
Dec 24, 2010,0.2,0.3,0.3,0.2,5.03K,0.00%
Dec 25, 2010,0.2,0.2,0.3,0.2,0.70K,0.00%
Dec 26, 2010,0.3,0.2,0.3,0.2,16.59K,0.00%
Dec 27, 2010,0.3,0.3,0.3,0.3,4.94K,0.00%
Dec 28, 2010,0.3,0.3,0.3,0.3,15.44K,0.00%
Dec 29, 2010,0.3,0.3,0.3,0.3,18.61K,0.00%
Dec 30, 2010,0.3,0.3,0.3,0.3,2.54K,0.00%
Dec 31, 2010,0.3,0.3,0.3,0.3,1.45K,0.00%
Jan 01, 2011,0.3,0.3,0.3,0.3,2.82K,0.00%
Jan 02, 2011,0.3,0.3,0.3,0.3,5.35K,0.00%
Jan 03, 2011,0.3,0.3,0.3,0.3,1.43K,0.00%
Jan 04, 2011,0.3,0.3,0.3,0.3,1.88K,0.00%
